Asset,Mkt-RF,SMB,HML,RMW,CMA
Broad_Commodities,0.5298665703188393,0.34592630484198683,0.4209685529342315,-0.094731260312203,0.10107968663718506
EM_Broad,0.7638943641671461,0.3469279973151692,0.1294109437391523,-0.10217975212142971,-0.1017547402948385
EM_Debt_Local_Alt,0.34128805102148163,0.09891565248846146,0.08969925077727182,0.02227707180957956,0.012026339656386484
EM_Debt_Local_Broad,0.4093528855744834,0.14617035526369251,0.0785075830799473,0.003292382665432565,-0.013193369929959379
EM_Debt_USD_Broad,0.42259082033594575,0.20578920836213005,0.07058262025612873,-0.002477350749039784,-0.1630332940499696
EM_Small,0.8660696340131545,0.4793452203116237,0.1600951656025542,-0.15424796536199087,-0.18902050501790404
EM_Value,0.8745966474911181,0.5499907008504659,0.4186304016466083,-0.2763656090543467,0.03388745662205312
Gold,0.08108956512408215,-0.16448661520433125,-0.1508109615178764,0.32702867976690986,-0.09549995877373132
Intl_LC_Blend,0.9356182021395691,0.4816938536084265,0.30567335139320584,-0.3560480973603334,-0.12128683076647834
Intl_LC_Growth,0.9437556254484171,0.41625382394965044,0.07779102885812371,-0.3896179910978116,-0.3706858977081569
Intl_LC_Value,0.9390253224869041,0.563855878795475,0.5397766790693138,-0.3408125011320478,0.11806917614712441
Intl_MidSmall_Blend,1.0078944008573447,0.6559352295043211,0.2830976402105808,-0.4364821011058149,-0.249644603657248
Intl_REIT,0.7709329479472765,0.4571345084056355,0.21688442854591444,-0.024037520377450237,-0.00043363633184027167
Intl_Small_Value,0.9417794351834159,0.6249424123748331,0.3732851287999936,-0.3766396668732762,-0.11951380087715081
UST_Intermediate_7_10Y,-0.03468210828382672,-0.12103420914022751,-0.1512298475348958,0.11930245214945871,-0.09112234640543872
UST_Long_20Y_Plus,-0.08403267659950821,-0.2503183144224003,-0.32129917456965634,0.15092567761775044,-0.18677414461245342
UST_Short_1_3Y,-0.011100547574534898,-0.019047832856058322,-0.016832984854780533,0.024085751831470038,-0.005270030788443063
UST_TIPS,0.11921995465830315,0.0064222149166273945,-0.07777747506710087,0.10239302017124706,-0.07873562541216883
US_HY_Broad,0.4710599494789355,0.3588629716800186,0.150992261011244,-0.18091204021617396,-0.11189552363184428
US_HY_Short,0.28824076789195563,0.17668462697496587,0.08633796150067927,0.017951124907538682,-0.05555485175664149
US_IG_Intermediate,0.180375203250892,0.05715107843559886,-0.05251398615321283,0.05005238221418725,-0.13400497947283788
US_IG_Long,0.2854627763550465,0.024501795127581365,-0.13090461996470357,0.04188589450713502,-0.2152786775640707
US_IG_Short,0.08231948601968586,0.03783253088206537,-0.00590895568350579,0.023488906998775105,-0.04874755630833843
US_LC_Blend,0.9646284925746621,0.44392606518260486,0.1620169991998734,-0.35159093808333464,-0.2971340029795376
US_LC_Growth,1.0445994548129829,0.3820920900244985,-0.1745226805614343,-0.4784080580736217,-0.7956200187035609
US_LC_Value,0.8986582687814728,0.5653105015087515,0.505281593494078,-0.2745753235837485,0.1858955374012678
US_MC_Blend,1.0883763319486168,1.0674263830405688,0.407009795881392,-0.4963244189110239,-0.15710633548609151
US_MC_Growth,1.0694310986769313,0.953076793064765,0.20880101799219247,-0.5276291623833763,-0.3639602303265063
US_MC_Value,1.1110029197519733,1.1975502111566845,0.6128506360187215,-0.46198121486798566,0.05213292172985695
US_REIT,1.0291042928689744,0.8766898076833464,0.492343488324139,-0.3272284095058605,-0.013273376576198263
US_SC_Blend,1.1339865056458174,1.4697855601192862,0.5808641529145703,-0.6621615783204926,-0.02978100614238306
US_SC_Growth,1.111727984670879,1.3822577433787897,0.40570946493836446,-0.6696738072764981,-0.2164204343859498
US_SC_Value,1.1661488762808607,1.5701138607951795,0.7652106456743293,-0.6506774160406972,0.15520478559326634
