Asset,FF_Factor,Beta,T_Stat,R2,N_Obs
US_LC_Blend,Mkt-RF,0.9646284925746621,145.17032030293686,0.9904793242148172,246
US_LC_Blend,SMB,0.44392606518260486,3.8126410538578552,0.07457923557279333,246
US_LC_Blend,HML,0.1620169991998734,1.2075611381070326,0.014535090352884916,246
US_LC_Blend,RMW,-0.35159093808333464,-1.775801866178975,0.026728334577547863,246
US_LC_Blend,CMA,-0.2971340029795376,-2.187302099218493,0.018477322146470132,246
US_LC_Value,Mkt-RF,0.8986582687814728,28.52813514709609,0.8707955040621925,246
US_LC_Value,SMB,0.5653105015087515,5.038004787617578,0.12251027900143707,246
US_LC_Value,HML,0.505281593494078,4.247452058087948,0.14320735028022402,246
US_LC_Value,RMW,-0.2745753235837485,-1.380080134059487,0.016512823804845644,246
US_LC_Value,CMA,0.1858955374012678,1.4735534756177062,0.007326120157061133,246
US_LC_Growth,Mkt-RF,1.0445994548129829,37.12698558866366,0.9141213233767317,246
US_LC_Growth,SMB,0.3820920900244985,2.850081761763968,0.043482222906894075,246
US_LC_Growth,HML,-0.1745226805614343,-1.1277801998174175,0.0132733126542951,246
US_LC_Growth,RMW,-0.4784080580736217,-2.297048437770721,0.03894686742816633,246
US_LC_Growth,CMA,-0.7956200187035609,-5.1310280999788125,0.10426168371759115,246
US_MC_Blend,Mkt-RF,1.0883763319486168,35.60798231253938,0.8848516835811939,246
US_MC_Blend,SMB,1.0674263830405688,8.548573618867298,0.30259347797975333,246
US_MC_Blend,HML,0.407009795881392,2.7188163602281703,0.06437145891590146,246
US_MC_Blend,RMW,-0.4963244189110239,-2.1589138306824953,0.03737790012977604,246
US_MC_Blend,CMA,-0.15710633548609151,-0.92306363418438,0.003625006431218214,246
US_MC_Value,Mkt-RF,1.1110029197519733,26.441456556673455,0.8321857625365999,246
US_MC_Value,SMB,1.1975502111566845,9.042512069752236,0.34375477374853247,246
US_MC_Value,HML,0.6128506360187215,4.049693436462203,0.13172569169472148,246
US_MC_Value,RMW,-0.46198121486798566,-1.8783998279839584,0.029228721827590842,246
US_MC_Value,CMA,0.05213292172985695,0.31077736718441806,0.0003602658454110452,246
