Ticker,Term,Beta,T_Stat,R2,N_Obs,Start,End
AAPL,Alpha,0.010333428804604236,2.474224924456072,0.42780049294744427,246,2006-01-01,2026-06-01
AAPL,Mkt-RF,1.2463621728420218,11.819231274890821,0.42780049294744427,246,2006-01-01,2026-06-01
AAPL,SMB,-0.13182957730399014,-0.8076305568353458,0.42780049294744427,246,2006-01-01,2026-06-01
AAPL,HML,-0.48966702192146394,-2.6764502786451203,0.42780049294744427,246,2006-01-01,2026-06-01
AAPL,RMW,0.5998659380947108,2.7919038025758205,0.42780049294744427,246,2006-01-01,2026-06-01
AAPL,CMA,-0.32986102897157416,-1.1900913456112687,0.42780049294744427,246,2006-01-01,2026-06-01
AGG,Alpha,0.0003664364977861575,0.41272881541295486,0.09765743135496652,246,2006-01-01,2026-06-01
AGG,Mkt-RF,0.08232348042805634,3.116227685205821,0.09765743135496652,246,2006-01-01,2026-06-01
AGG,SMB,-0.010827615695302386,-0.3152723391460245,0.09765743135496652,246,2006-01-01,2026-06-01
AGG,HML,-0.0769921544027952,-2.277012407785508,0.09765743135496652,246,2006-01-01,2026-06-01
AGG,RMW,0.05989712789510495,1.1789005597519668,0.09765743135496652,246,2006-01-01,2026-06-01
AGG,CMA,0.01052184913287464,0.1708197539340326,0.09765743135496652,246,2006-01-01,2026-06-01
GLD,Alpha,0.005612440148266253,1.827860078497864,0.044261851548649256,246,2006-01-01,2026-06-01
GLD,Mkt-RF,0.1559774029970187,2.003640235358605,0.044261851548649256,246,2006-01-01,2026-06-01
GLD,SMB,-0.09934016747566932,-0.7551477347677569,0.044261851548649256,246,2006-01-01,2026-06-01
GLD,HML,-0.1875508264294824,-1.36434654675049,0.044261851548649256,246,2006-01-01,2026-06-01
GLD,RMW,0.35126661026480244,2.267606254809752,0.044261851548649256,246,2006-01-01,2026-06-01
GLD,CMA,0.09202768829699684,0.45980394969055166,0.044261851548649256,246,2006-01-01,2026-06-01
