Date,Portfolio_Return
2006-03-01,0.030814166975153302
2006-04-01,-0.0009055130662025627
2006-05-01,-0.02580437817617108
2006-06-01,0.01631588856215947
2006-07-01,-0.04169225476626886
2006-08-01,0.009888733340367353
2006-09-01,0.017873035595624857
2006-10-01,0.030302975531823425
2006-11-01,0.023531617204638988
2006-12-01,0.031903738274355394
2007-01-01,0.025561428205422874
2007-02-01,0.028474131817055354
2007-03-01,0.020903048291251763
2007-04-01,0.0716250533261149
2007-05-01,0.04580188913553531
2007-06-01,-0.0253015968149286
2007-07-01,-0.0368967729741252
2007-08-01,-0.008104714446451333
2007-09-01,0.03647587077297529
2007-10-01,-0.001411631608492725
2007-11-01,-0.04416604705331685
2007-12-01,-0.024754948447220208
2008-01-01,-0.04623952406368507
2008-02-01,-0.04912689613608773
2008-03-01,-0.030801494516313123
2008-04-01,0.00780867775693444
2008-05-01,-0.0037649711768083707
2008-06-01,-0.09803810389169715
2008-07-01,-0.03371562634126999
2008-08-01,-0.050877141646612
2008-09-01,-0.19173122939762924
2008-10-01,-0.19926966462507867
2008-11-01,-0.16614596565650847
2008-12-01,-0.09675922929398952
2009-01-01,-0.15967570472230405
2009-02-01,-0.1111388832388875
2009-03-01,0.048564309640856014
2009-04-01,0.08833958755995658
2009-05-01,0.035662782525874764
2009-06-01,0.034355883453110865
2009-07-01,0.14098717524378035
2009-08-01,0.09626728542157427
2009-09-01,0.07700494000364512
2009-10-01,0.004927055152597193
2009-11-01,0.0810647380388374
2009-12-01,0.063188220477782
2010-01-01,0.020901572208605494
2010-02-01,0.05879357922208126
2010-03-01,0.09177998760064789
2010-04-01,0.03732130911251539
2010-05-01,-0.04652757733713387
2010-06-01,-0.0483520468466012
2010-07-01,0.043858392322392595
2010-08-01,-0.04602304955849273
2010-09-01,0.08747110773802001
2010-10-01,0.025724673938477265
2010-11-01,0.013588008634617729
2010-12-01,0.1109753556160668
2011-01-01,0.00716403128268275
2011-02-01,0.04676994360702739
2011-03-01,-0.004420902950501546
2011-04-01,0.009781990235428927
2011-05-01,-0.016591808953030057
2011-06-01,-0.011490313482691323
2011-07-01,-0.015009168435631132
2011-08-01,-0.04559392947299891
2011-09-01,-0.08285024768253005
2011-10-01,0.10769819963005549
2011-11-01,0.016209113351952548
2011-12-01,0.021129801263820226
2012-01-01,0.04146887300773644
2012-02-01,0.031002700056308667
2012-03-01,0.01172691082156594
2012-04-01,0.007020186434122659
2012-05-01,-0.053395107508002304
2012-06-01,0.04381449018836682
2012-07-01,-0.0013829617183210314
2012-08-01,0.02191171153300223
2012-09-01,0.037175461390230397
2012-10-01,-0.010472847459492958
2012-11-01,0.020260250808735104
2012-12-01,0.013355536460352188
2013-01-01,0.05040501352678525
2013-02-01,0.014440022254332545
2013-03-01,0.026437645299562385
2013-04-01,0.022817581564894746
2013-05-01,0.02758209229062476
2013-06-01,-0.00476647088710153
2013-07-01,0.05959584302427802
2013-08-01,-0.015844796224892817
2013-09-01,0.04924454787243468
2013-10-01,0.03826463203510833
2013-11-01,0.026174455199864513
2013-12-01,0.02534513135190089
2014-01-01,-0.06135986544781177
2014-02-01,0.025681807900040293
2014-03-01,-0.0005698721760141259
2014-04-01,-0.014637339229395528
2014-05-01,0.02603114523353115
2014-06-01,0.014041004157681645
2014-07-01,-0.02557793467464313
2014-08-01,0.05660345785609788
2014-09-01,-0.026585157204536906
2014-10-01,0.034800086326520374
2014-11-01,0.004806194254382784
2014-12-01,0.0025643010461603916
2015-01-01,-0.05137908735109271
2015-02-01,0.044422868895537516
2015-03-01,0.004121475088625662
2015-04-01,-0.021711972863504778
2015-05-01,0.015714210626505052
2015-06-01,-0.009440329342115469
2015-07-01,-0.005624278819664454
2015-08-01,-0.07046924455833656
2015-09-01,-0.02771334042553839
2015-10-01,0.05891849129756783
2015-11-01,0.00933162930349329
2015-12-01,-0.02666462256169711
